,Ticker,SMA200_value,SMA150_value,SMA50_value,SMA200_percent,SMA50_percent,EPS_QoQ_percent,Sales_QoQ_percent,prev_close,week52_high,week52_low,Inst. Ownership,Shares Outstanding,volume,Relative Strength Value,rs_value_rule (1st),vol_price_rule (2nd),eps_QoQ_yearly_rule (1st),sales_QoQ_yearly_rule (1st),shares_outstanding_rule (2nd),inst_ownership_rule (2nd),SMA200_slope_rule (1st),SMA150_greater_SMA200_rule (1st),SMA50_greater_SMA150_rule (1st),close_greater_SMA50_rule (1st),week52_span_rule (1st),close_above_52weekhigh_rule (1st),Primary Passed Tests,Secondary Passed Tests,Double Bottom Chart,Inverse Head and Shoulder Pattern,Multiple Bottom Pattern,Channel Up Pattern,Channel Up Strong Pattern,Wedge Down Pattern,Wedge Down Strong Pattern,Channel Down Strong Pattern
78,BLDR,38.01086938553962,39.98745084276386,43.833999960763116,0.3187,0.042199999999999994,2.351,0.435,46.62,47.5,10.90999984741211,0.672,206430000.0,378624.0,-1.5221346283142365,False,True,True,True,False,False,True,True,True,True,True,True,8,1,False,False,False,True,True,False,False,False
88,HZO,37.42550728286522,41.148431441363165,50.565143149239674,0.4608,0.0259,1.507,0.353,51.64,61.77000045776367,7.96999979019165,0.0,22030000.0,173846.0,-3.840027111287982,False,False,True,True,True,False,True,True,True,True,True,True,8,1,False,False,False,False,False,False,False,False
95,APAM,47.0094927082891,49.23372552909103,50.373428562709265,0.18739999999999998,0.008199999999999999,0.517,0.253,52.84,54.41999816894531,19.59000015258789,0.8390000000000001,56970000.0,102551.0,1.3108701156252607,True,False,True,True,False,False,True,True,True,True,True,True,9,0,False,False,False,False,False,False,False,False
97,PCH,47.86782590893731,49.353627335791494,52.37514288766044,0.151,0.022000000000000002,7.742999999999999,0.6579999999999999,52.37,54.15999984741211,25.979999542236328,0.8740000000000001,67160000.0,176170.0,2.3349220046992882,True,False,True,True,False,False,True,True,True,False,True,True,8,0,False,False,False,False,False,False,False,False
100,UCTT,34.731376744698785,39.136470532884786,49.78628572736468,0.7306999999999999,0.1588,3.0869999999999997,0.29100000000000004,56.95,56.95000076293945,12.710000038146973,0.9059999999999999,40500000.0,242143.0,-2.8898970225266902,False,False,True,True,False,False,True,True,True,True,True,True,8,0,False,False,False,True,False,False,False,False
101,LPX,38.13384050562762,40.7678430407655,48.96028562273298,0.5561,0.19579999999999997,6.374,0.601,56.05,56.04999923706055,13.859999656677246,0.956,108000000.0,332846.0,1.9717793992830377,True,True,True,True,False,False,True,True,True,True,True,True,9,1,False,False,False,False,False,False,False,False
102,MC,45.14528983572255,48.4365686154833,54.65514297485352,0.3839,0.0208,4.122,0.888,55.97,57.959999084472656,26.510000228881836,0.983,60480000.0,43060.0,0.41453295575799975,False,False,True,True,False,False,True,True,True,True,True,True,8,0,False,False,False,False,False,False,False,False
110,EBAY,54.02181149911189,54.528627320831895,58.9802855355399,0.1045,0.022799999999999997,0.945,0.28300000000000003,60.83,63.84000015258789,28.780000686645508,0.9329999999999999,689000000.0,1637141.0,7.046602145262207,True,True,True,True,False,False,False,True,True,True,True,True,8,1,False,False,False,False,False,False,False,False
113,CCS,47.90623194929482,49.93941176171396,59.26914313180106,0.3885,0.0837,0.6729999999999999,0.24600000000000002,61.15,64.91000366210938,11.270000457763672,0.922,33350000.0,189130.0,1.3382517987710958,True,False,True,False,False,False,True,True,True,True,True,True,8,0,False,False,False,False,False,False,False,False
114,ONTO,47.15036227737648,52.70450980990541,62.06514293125698,0.4071,-0.0009,2.975,0.581,63.04,66.4800033569336,27.899999618530273,0.976,48930000.0,48428.0,1.4487503948467324,True,False,True,True,False,False,True,True,True,True,True,True,9,0,False,False,False,True,False,False,False,False
115,BOOT,45.58822459068851,50.889362634397024,60.98957116263254,0.599,0.021400000000000002,0.183,0.064,63.3,65.5999984741211,10.710000038146973,0.0,28910000.0,184558.0,2.14800428897453,True,False,True,False,False,False,True,True,True,True,True,True,8,0,False,False,False,False,False,False,False,False
118,SF,49.26144937155903,53.697843177645815,62.3865713936942,0.426,0.0603,0.42700000000000005,0.10099999999999999,64.7,67.68000030517578,23.453332901000977,0.894,106030000.0,62057.0,2.99843310266703,True,False,True,False,False,False,True,True,True,True,True,True,8,0,False,False,False,True,True,False,False,False
121,PFSI,60.202536016270734,60.67499972324745,63.26999958583287,0.16690000000000002,0.0436,2.194,0.968,65.13,69.48999786376953,17.25,0.5489999999999999,71770000.0,317984.0,-3.065267196061076,False,True,True,True,False,False,True,True,True,True,True,True,8,1,False,False,False,True,False,False,False,False
125,LOB,43.42804343458535,48.66088227664723,56.10942873273577,0.8975,0.2726,3.115,0.34299999999999997,68.46,68.45999908447266,10.600000381469727,0.49200000000000005,41330000.0,199615.0,-1.8573938236692535,False,False,True,True,False,False,True,True,True,True,True,True,8,0,False,False,False,False,False,False,False,False
134,YETI,62.93608480259992,67.90450690774357,71.23941999162946,0.2281,-0.0031,12.158,0.263,72.44,78.04000091552734,16.93000030517578,0.987,87110000.0,182668.0,3.2035240868764054,True,False,True,True,False,False,True,True,True,True,True,True,9,0,False,False,False,False,False,False,False,False
136,APPS,53.51289851423623,60.640588255489575,81.72085702078682,0.7192000000000001,-0.0546,3.245,1.4609999999999999,75.66,94.73999786376953,3.8299999237060547,0.65,89000000.0,793249.0,4.199723119881884,True,True,True,True,False,False,True,True,True,False,True,True,8,1,False,False,False,False,False,False,False,False
138,UFPI,58.044166786083274,58.81181384067909,65.39871455601283,0.26789999999999997,0.1485,0.675,0.396,73.29,73.29000091552734,33.119998931884766,0.825,59840000.0,77105.0,1.9487201492706843,True,False,True,True,False,False,False,True,True,True,True,True,8,0,False,False,False,False,False,False,False,False
144,CROX,63.64956535118213,69.58323542277019,78.88800027029855,0.38799999999999996,-0.0106,8.436,0.565,80.55,84.80000305175781,14.710000038146973,0.935,66730000.00000001,243889.0,-1.5229088464883984,False,True,True,True,False,False,True,True,True,True,True,True,8,1,False,False,False,True,False,False,False,False
147,CLGX,76.11891318058622,78.85568656173407,81.95171486990792,0.0925,-0.0172,2.465,0.325,79.25,89.91999816894531,29.079999923706055,0.9009999999999999,76270000.0,309109.0,5.229677479813523,True,True,True,True,False,False,True,True,True,False,True,True,8,1,False,False,False,False,False,False,False,False
168,MNST,85.97681156103162,88.02509809007832,88.94342869349889,0.09939999999999999,0.0245,0.196,0.1,91.65,94.98999786376953,53.099998474121094,0.6559999999999999,527640000.0,476558.0,41.51412668659234,True,True,True,False,False,False,True,True,True,True,True,True,8,1,False,False,False,False,False,True,False,False
169,ENSG,73.24355072906052,78.95578429278206,86.40999952043806,0.4045,0.0721,4.357,1.021,96.13,96.12999725341797,29.219999313354492,0.857,53840000.0,136411.0,1.5593093035958847,True,False,True,True,False,False,True,True,True,True,True,True,9,0,False,False,False,True,True,False,False,False
173,FND,88.32942017264988,92.34862742704503,96.56942858014789,0.16399999999999998,-0.0317,0.591,0.373,97.68,105.29000091552734,27.040000915527344,0.971,103840000.0,222602.0,1.9710482439702546,True,True,True,True,False,False,True,True,True,True,True,True,9,1,False,False,False,False,False,False,False,True
174,BC,78.37907592110012,84.18973017673866,94.6154998779297,0.28309999999999996,0.019799999999999998,0.316,0.265,97.12,107.23999786376953,26.709999084472656,0.9898,78600000.0,108274.0,2.9559072769071193,True,False,True,True,False,False,True,True,True,True,True,True,9,0,False,False,False,False,False,False,False,False
180,WD,81.39920301022737,90.29558843724868,102.38828582763672,0.39270000000000005,0.024399999999999998,0.925,0.61,104.6,112.19000244140625,24.850000381469727,0.779,30640000.0,23268.0,-1.7078580879245446,False,False,True,True,False,False,True,True,True,True,True,True,8,0,False,False,False,True,True,False,False,False
183,TTC,92.73057959736258,95.6648037480373,101.14914223807199,0.21289999999999998,0.0407,0.58,0.13699999999999998,104.34,104.73999786376953,59.97999954223633,0.841,108120000.0,81008.0,1.3478862155260178,True,False,True,False,False,False,True,True,True,True,True,True,8,0,False,False,False,True,False,False,False,False
189,EXPD,93.07724618220675,93.61372525084252,97.7211430140904,0.20670000000000002,0.12380000000000001,0.45899999999999996,0.55,107.8,108.05000305175781,65.4800033569336,0.968,169510000.0,261406.0,1.9322638401607835,True,True,True,True,False,False,True,True,True,True,False,True,8,1,False,False,False,True,False,False,False,False
196,SNX,76.64042923415917,83.65096058565028,96.73614283970424,0.5053,0.21170000000000003,0.212,0.127,116.7,116.69999694824219,27.5590877532959,0.772,51050000.0,59246.0,1.1242799526131761,True,False,True,False,False,False,True,True,True,True,True,True,8,0,False,False,False,True,False,False,False,False
204,ABT,112.46970997685972,114.46745060939415,121.02999986921039,0.1288,0.0177,1.088,0.287,122.07,128.22999572753906,76.56999969482422,0.758,1780000000.0,1335650.0,-0.684146824247831,False,True,True,True,False,False,True,True,True,True,True,True,8,1,False,False,False,False,False,False,False,False
207,AMAT,87.3663044805112,97.11676485398236,115.81999969482422,0.5727,0.1155,0.27,0.24,128.64,128.63999938964844,42.279998779296875,0.83,915000000.0,3979221.0,3.8789500829951127,True,True,True,False,False,False,True,True,True,True,True,True,8,1,False,False,False,True,False,False,False,False
211,EVR,100.28427566307178,110.57588248159371,126.69314357212612,0.4678,0.0436,1.025,0.39899999999999997,129.5,142.41000366210938,45.619998931884766,0.871,40890000.0,221942.0,-3.5471294546210443,False,True,True,True,False,False,True,True,True,True,True,True,8,1,False,False,False,True,True,False,False,False
219,UHS,126.39166613592617,131.90097988353057,132.70428532191684,0.1263,0.0196,0.28800000000000003,0.066,135.15,142.4600067138672,85.37999725341797,0.956,84730000.0,119531.0,8.380183286748183,True,True,True,False,False,False,True,True,True,True,True,True,8,1,False,False,False,True,True,False,False,False
222,NXST,111.52934779291567,118.51166669060203,141.64542933872767,0.32899999999999996,0.0366,2.376,0.251,141.85,160.3699951171875,50.75,0.0,43740000.0,86911.0,2.0012473683934617,True,False,True,True,False,False,True,True,True,True,True,True,9,0,False,False,False,False,False,False,False,False
224,SNBR,88.35148565320002,100.26083351584042,133.86614336286272,0.8521,0.1142,1.6669999999999998,0.287,140.82,146.97000122070312,15.550000190734863,0.9925,26910000.0,103148.0,8.948323647923713,True,False,True,True,False,False,True,True,True,True,True,True,9,0,False,False,False,True,False,False,False,False
226,AGCO,102.23601460111314,111.14813741048177,131.38885759626115,0.5639,0.1186,2.225,0.081,142.54,147.42999267578125,43.5,0.826,75000000.0,110971.0,1.7649663455515536,True,True,True,False,False,False,True,True,True,True,True,True,8,1,False,False,False,False,False,False,False,False
242,TROW,150.07311597077742,155.46049035764207,168.5645717075893,0.2195,0.0647,0.488,0.18,178.13,178.1300048828125,93.87000274658203,0.7190000000000001,226700000.0,235433.0,2.2053847673836735,True,True,True,False,False,False,True,True,True,True,True,True,8,1,False,False,False,False,False,False,False,False
243,SITE,147.21398577482805,155.371176775764,166.411714390346,0.2811,0.0652,3.3280000000000003,0.262,177.77,181.52999877929688,61.459999084472656,0.0,44400000.0,38975.0,-1.2817978511660106,False,False,True,True,False,False,True,True,True,True,True,True,8,0,False,False,False,False,False,False,False,False
244,MKSI,143.96619630896527,155.57593229705213,166.10557250976564,0.31679999999999997,0.061200000000000004,1.704,0.321,183.11,188.24000549316406,74.9800033569336,0.977,55100000.0,101202.0,0.3572159711173581,False,True,True,True,False,False,True,True,True,True,True,True,8,1,False,False,False,True,False,False,False,False
245,QRVO,157.07405764814737,166.2073527317421,174.46599775041852,0.2228,0.014199999999999999,0.276,0.26,182.5,186.02999877929688,73.44000244140625,0.8690000000000001,113810000.0,173504.0,0.5336082049795917,False,True,True,True,False,False,True,True,True,True,True,True,8,1,False,False,False,False,False,False,False,False
250,TXN,161.26333363850912,167.20784355612363,175.42914297921317,0.21030000000000001,0.0596,0.606,0.217,188.2,188.1999969482422,96.88999938964844,0.856,921000000.0,1327993.0,1.0993567389739058,True,True,True,False,False,False,True,True,True,True,True,True,8,1,False,False,False,True,True,False,False,False
252,FTNT,140.98881414662236,147.77221919041054,172.82503880092077,0.3343,0.1174,0.313,0.204,182.77,192.02999877929688,100.47000122070312,0.6990000000000001,162400000.0,418238.0,3.260613271285697,True,True,True,False,False,False,True,True,True,True,True,True,8,1,False,False,False,True,False,False,False,False
255,HCA,156.89500018133634,166.32892189773858,181.07057189941406,0.2953,0.0576,0.337,0.057,191.07,191.82000732421875,81.83000183105469,0.718,338930000.0,357503.0,2.0214162298210008,True,True,True,False,False,False,True,True,True,True,True,True,8,1,False,False,False,True,True,False,False,False
264,ABG,139.99170319930366,151.50975545247397,175.43128574916295,0.5598,0.1643,1.044,0.18,199.29,199.2899932861328,42.099998474121094,0.0,19200000.0,37491.0,1.2256416156697383,True,False,True,False,True,False,True,True,True,True,True,True,8,1,False,False,False,True,True,False,False,False
267,SWK,176.9261955592943,180.3122058943206,184.53214198521206,0.19030000000000002,0.1051,1.155,0.187,202.07,202.07000732421875,92.12999725341797,0.909,160890000.0,182829.0,1.311375709193437,True,True,True,False,False,False,True,True,True,True,True,True,8,1,False,False,False,False,False,False,False,False
270,BLD,186.3243477862814,191.63823520436006,203.97942810058595,0.2377,0.0246,0.5710000000000001,0.08900000000000001,213.96,223.39999389648438,60.779998779296875,1.0,32790000.0,104840.0,2.7343240400468503,True,True,True,False,False,False,True,True,True,True,True,True,8,1,False,False,False,True,False,False,False,True
286,LH,212.72797095257303,220.19431349810432,240.16657060895648,0.23550000000000001,0.0623,3.1189999999999998,0.52,252.85,252.85000610351562,113.30999755859375,0.9390000000000001,97300000.0,133290.0,6.601942545212712,True,True,True,True,False,False,True,True,True,True,True,True,9,1,False,False,False,False,False,False,False,False
293,CRL,252.9656881802324,261.66906857958026,284.2715706961496,0.2084,0.016399999999999998,0.732,0.145,288.04,299.4800109863281,118.83999633789062,0.96,49750000.0,50347.0,3.4133701591128394,True,False,True,False,False,False,True,True,True,True,True,True,8,0,False,False,False,True,True,False,False,False
298,GNRC,245.37702776038128,262.3063710530599,318.84571533203126,0.4336,0.0223,0.784,0.28800000000000003,316.04,363.4700012207031,83.02999877929688,0.9470000000000001,62390000.0,280487.0,2.736848123691478,True,True,True,True,False,False,True,True,True,False,True,True,8,1,False,False,False,False,False,False,False,False
311,UI,258.13644939920175,287.51931388705384,339.95314331054686,0.5941,0.154,0.925,0.555,389.88,389.8800048828125,134.33999633789062,0.075,62820000.0,59599.0,5.009792306623063,True,True,True,True,False,True,True,True,True,True,True,True,9,2,False,False,False,True,False,False,False,False
326,LRCX,461.7978261311849,505.14813770967373,555.5408586774554,0.3284,0.026000000000000002,0.738,0.33799999999999997,584.23,598.8099975585938,218.14999389648438,0.873,143830000.0,524047.0,-0.3592160815148584,False,True,True,True,False,False,True,True,True,True,True,True,8,1,False,False,False,True,False,False,False,False
329,UHAL,450.890869140625,481.9835285859949,569.2797127859933,0.48840000000000006,0.13449999999999998,4.916,0.261,619.41,619.4099731445312,250.97000122070312,0.36700000000000005,19610000.0,20351.0,2.595111196424645,True,False,True,True,True,False,True,True,True,True,True,True,9,1,False,False,False,False,False,False,False,False
338,SAM,986.616482499717,1009.3060266831342,1097.6247017996652,0.3186,0.1243,1.385,0.53,1159.99,1213.6199951171875,357.44000244140625,0.87,12180000.0,75951.0,-5.181591945032556,False,True,True,True,True,False,True,True,True,True,True,True,8,2,False,False,False,False,False,False,False,False
