,Ticker,SMA200_value,SMA150_value,SMA50_value,SMA200_percent,SMA50_percent,EPS_QoQ_percent,Sales_QoQ_percent,prev_close,week52_high,week52_low,Inst. Ownership,Shares Outstanding,volume,vol_price_rule (2nd),eps_QoQ_yearly_rule (1st),sales_QoQ_yearly_rule (1st),shares_outstanding_rule (2nd),inst_ownership_rule (2nd),SMA200_slope_rule (1st),SMA150_greater_SMA200_rule (1st),SMA50_greater_SMA150_rule (1st),close_greater_SMA50_rule (1st),week52_span_rule (1st),close_above_52weekhigh_rule (1st),Primary Passed Tests,Secondary Passed Tests,Double Bottom Chart,Inverse Head and Shoulder Pattern,Multiple Bottom Pattern,Channel Up Pattern,Channel Up Strong Pattern,Wedge Down Pattern,Wedge Down Strong Pattern,Channel Down Strong Pattern
158,VIVO,20.348248119771917,21.39873777778403,24.583428573608398,0.2451,0.0575,0.557,0.264,25.76,29.889999389648438,6.699999809265137,0.935,42960000.0,472545.0,False,True,True,False,False,False,True,True,True,True,True,7,0,False,False,False,False,False,False,False,False
161,WSC,22.215073007736763,23.870825258273523,26.70999995640346,0.2796,-0.0255,2.129,0.62,25.0,27.829999923706055,8.449999809265137,0.78,229070000.0,531902.0,False,True,True,False,False,True,True,True,False,True,True,7,0,False,False,False,True,False,False,False,False
164,VVV,22.73430658604977,23.704271890584703,25.28142852783203,0.1784,0.0383,0.21100000000000002,0.076,25.53,26.780000686645508,11.899999618530273,0.963,185000000.0,799698.0,True,True,False,False,False,True,True,True,True,True,True,7,1,False,False,False,True,False,False,False,False
168,HOME,20.19244518419252,21.09800964651756,26.63928565979004,0.515,0.020499999999999997,4.093,0.475,25.94,33.31999969482422,1.4199999570846558,0.943,64510000.00000001,1353152.0,True,True,True,False,False,True,True,True,False,True,True,7,1,False,False,False,False,False,False,False,False
170,VUZI,9.257072976035793,10.86134949702661,18.655400003705704,2.5501,0.6023,0.6859999999999999,1.1,23.05,28.809999465942383,1.090000033378601,0.255,55700000.0,6790701.0,True,True,True,False,True,True,True,True,True,True,True,8,2,False,False,False,False,False,False,False,False
172,SC,22.42116783309157,23.630582513161077,26.23400001525879,0.25739999999999996,0.0483,2.969,0.052000000000000005,26.25,27.600000381469727,11.869999885559082,0.218,306000000.0,475777.0,False,True,False,False,True,True,True,True,True,True,True,7,1,False,False,False,False,False,False,False,False
183,VICI,25.625255529027786,26.22883502256523,27.978285816737582,0.10550000000000001,-0.0109,1.5319999999999998,0.5710000000000001,26.93,29.219999313354492,13.779999732971191,0.912,536549999.99999994,1814674.0,True,True,True,False,False,True,True,True,False,True,True,7,1,False,False,False,True,False,False,False,False
189,SLQT,22.85875920483666,23.717864193962615,27.835714449201312,0.22510000000000002,0.04650000000000001,8.238999999999999,3.8160000000000003,26.73,32.220001220703125,16.850000381469727,0.603,162650000.0,443207.0,False,True,True,False,False,True,True,True,False,True,True,7,0,False,False,False,True,False,False,False,False
192,REZI,19.64540150913879,22.289611714557537,27.426571437290736,0.6008,0.0446,6.934,0.151,27.71,31.510000228881836,3.940000057220459,0.92,143040000.0,201422.0,False,True,False,False,False,True,True,True,True,True,True,7,0,False,False,False,False,False,False,False,False
197,BEN,24.03306569844267,24.922815563609298,27.632285799298966,0.2447,0.055099999999999996,-0.038,0.436,28.59,30.260000228881836,15.3100004196167,0.479,491100000.0,717933.0,True,False,True,False,False,True,True,True,True,True,True,7,1,False,False,False,False,False,False,False,False
202,SMPL,25.802737159450558,27.044854303008144,30.363285609654017,0.1809,-0.0212,5.221,0.519,28.68,34.709999084472656,15.449999809265137,0.9940000000000001,95540000.0,349285.0,False,True,True,False,False,True,True,True,False,True,True,7,0,False,False,False,False,False,False,False,False
205,VSTO,25.06076634539305,26.66946590756907,32.663571275983536,0.3123,-0.0673,4.195,0.353,28.58,36.22999954223633,7.039999961853027,0.934,58300000.0,524449.0,False,True,True,False,False,True,True,True,False,True,True,7,0,False,False,False,True,False,False,False,False
